comparison_id,indicator_id,category,region_id,region_name,sex,age_group,earlier,later,difference_pp,difference_ci_low,difference_ci_high,difference_ci_low_point,difference_ci_high_point,se_difference_pp,se_difference_band_pp,p_value,p_adjusted,p_adjusted_point,comparability,mode,change_status,status_reason,method,family
alcohol-ever:4:12-17:total,alc_alguna_vez,Consumo alguna vez en la vida,4,Nororiental,total,12-17,alcohol-ever:2016-2017:4:12-17:total,alcohol-ever:2025:4:12-17:total,-2.0,-8.8883,4.8883,-8.8466,4.8466,3.4932,"[3.4587, 3.5145]",0.56695613,1.0,1.0,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:5:12-17:total,alc_alguna_vez,Consumo alguna vez en la vida,5,Occidental,total,12-17,alcohol-ever:2016-2017:5:12-17:total,alcohol-ever:2025:5:12-17:total,-21.0,-29.2735,-12.7265,-29.2392,-12.7608,4.2037,"[4.1746, 4.2212]",5.9e-07,5.22e-06,4.69e-06,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:6:12-17:total,alc_alguna_vez,Consumo alguna vez en la vida,6,Ciudad de México,total,12-17,alcohol-ever:2016-2017:6:12-17:total,alcohol-ever:2025:6:12-17:total,-2.2,-12.5274,8.1274,-12.4769,8.0769,5.2434,"[5.1911, 5.2692]",0.6747956,1.0,1.0,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:7:12-17:total,alc_alguna_vez,Consumo alguna vez en la vida,7,Centro,total,12-17,alcohol-ever:2016-2017:7:12-17:total,alcohol-ever:2025:7:12-17:total,-3.5,-10.5969,3.5969,-10.5708,3.5708,3.6076,"[3.5881, 3.6209]",0.33196097,1.0,1.0,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:8:12-17:total,alc_alguna_vez,Consumo alguna vez en la vida,8,Centro Sur,total,12-17,alcohol-ever:2016-2017:8:12-17:total,alcohol-ever:2025:8:12-17:total,-2.5,-8.7204,3.7204,-8.69,3.69,3.1582,"[3.1356, 3.1738]",0.42860343,1.0,1.0,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:9:12-17:total,alc_alguna_vez,Consumo alguna vez en la vida,9,Sur,total,12-17,alcohol-ever:2016-2017:9:12-17:total,alcohol-ever:2025:9:12-17:total,-7.6,-13.3297,-1.8703,-13.2987,-1.9013,2.9076,"[2.8852, 2.9234]",0.00895204,0.05597968,0.05371227,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:1:18-65:total,alc_alguna_vez,Consumo alguna vez en la vida,1,Península Norte,total,18-65,alcohol-ever:2016-2017:1:18-65:total,alcohol-ever:2025:1:18-65:total,9.7,6.8377,12.5623,6.8768,12.5232,1.4405,"[1.4153, 1.4604]",0.0,0.0,0.0,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:3:18-65:total,alc_alguna_vez,Consumo alguna vez en la vida,3,Norcentral,total,18-65,alcohol-ever:2016-2017:3:18-65:total,alcohol-ever:2025:3:18-65:total,5.2,1.681,8.719,1.7182,8.6818,1.7765,"[1.7518, 1.7954]",0.00342049,0.01510734,0.01368197,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:4:18-65:total,alc_alguna_vez,Consumo alguna vez en la vida,4,Nororiental,total,18-65,alcohol-ever:2016-2017:4:18-65:total,alcohol-ever:2025:4:18-65:total,6.8,2.8909,10.7091,2.9339,10.6661,1.9725,"[1.9419, 1.9945]",0.00056615,0.00390552,0.00339689,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:5:18-65:total,alc_alguna_vez,Consumo alguna vez en la vida,5,Occidental,total,18-65,alcohol-ever:2016-2017:5:18-65:total,alcohol-ever:2025:5:18-65:total,-5.1,-8.2682,-1.9318,-8.2366,-1.9634,1.6003,"[1.5809, 1.6165]",0.00143845,0.00802481,0.00719223,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:6:18-65:total,alc_alguna_vez,Consumo alguna vez en la vida,6,Ciudad de México,total,18-65,alcohol-ever:2016-2017:6:18-65:total,alcohol-ever:2025:6:18-65:total,4.7,0.7849,8.6151,0.8378,8.5622,1.9705,"[1.9322, 1.9975]",0.01707246,0.05587954,0.05121737,comparable tras armonización,contrast_reconstructed_variance,not_evaluable,El veredicto cambia dentro de la banda de incertidumbre del SE reconstruido: no se clasifica.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:7:18-65:total,alc_alguna_vez,Consumo alguna vez en la vida,7,Centro,total,18-65,alcohol-ever:2016-2017:7:18-65:total,alcohol-ever:2025:7:18-65:total,6.9,4.003,9.797,4.0408,9.7592,1.4588,"[1.4346, 1.4781]",2.25e-06,2.128e-05,1.572e-05,comparable tras armonización,contrast_reconstructed_variance,evidence_of_change,Significativo con Holm en toda la banda de incertidumbre del SE reconstruido de 2016-2017.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:8:18-65:total,alc_alguna_vez,Consumo alguna vez en la vida,8,Centro Sur,total,18-65,alcohol-ever:2016-2017:8:18-65:total,alcohol-ever:2025:8:18-65:total,-2.0,-5.3965,1.3965,-5.3661,1.3661,1.7174,"[1.6983, 1.7329]",0.24420746,0.27804236,0.27297855,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
alcohol-ever:9:18-65:total,alc_alguna_vez,Consumo alguna vez en la vida,9,Sur,total,18-65,alcohol-ever:2016-2017:9:18-65:total,alcohol-ever:2025:9:18-65:total,-3.0,-6.9744,0.9744,-6.9489,0.9489,2.0148,"[1.9987, 2.0278]",0.13648927,0.27804236,0.27297855,comparable tras armonización,contrast_reconstructed_variance,insufficient_evidence,No significativo con Holm en toda la banda; el resultado no depende del SE reconstruido. No significa igualdad.,"Diferencia de dos proporciones independientes, 2025 menos 2016-2017, en puntos porcentuales. Varianza de 2025 por diseño; varianza de 2016-2017 reconstruida invirtiendo su IC publicado bajo el método logit-t identificado. IC y p reportados en su version conservadora, evaluada en el extremo más ancho de la banda del SE reconstruido. Ajuste de multiplicidad Holm sobre las ocho regiones de la misma edad.","Ocho contrastes regionales simultaneos dentro del grupo de edad. Los tres grupos de edad se solapan, por lo que no forman una familia conjunta."
